y_true,y_pred,y_pred_proba
1,1,0.5129682100980577
1,0,0.47824447840611817
0,1,0.5387050344410186
0,0,0.4804359651416491
0,1,0.5236281234599511
1,1,0.508862284051573
0,1,0.5415515669059875
1,1,0.5375164107517333
1,1,0.5747421407930022
0,1,0.52348063470972
1,1,0.5263797998862569
1,1,0.5163783838155459
1,1,0.5130770890070339
0,1,0.5626820458379992
1,1,0.5329045699015216
1,0,0.4869775738409674
0,1,0.5211072642724275
0,0,0.49295972824568374
1,1,0.5281499302141256
1,1,0.5185432175451814
1,1,0.5266414824082026
1,1,0.5434310381476104
0,1,0.5573755392153892
0,1,0.5039306176810444
0,0,0.45200061533933394
1,0,0.45694271683342896
0,1,0.5060289714950852
1,1,0.5485709478115413
1,1,0.549967556032778
1,1,0.5442464311187462
1,1,0.5362581736888627
1,1,0.5642520690495032
0,0,0.4401152148405156
1,0,0.4298238687888205
0,0,0.4618557745394242
0,0,0.49166545602299977
1,0,0.4689224651035346
1,1,0.5208674159157316
1,1,0.5762454491649404
0,0,0.47640492768943377
0,1,0.520025833208518
0,0,0.4064111272054628
1,0,0.46770151293123585
1,0,0.4986572407270847
0,0,0.48905125989916004
1,1,0.5525778961075022
0,1,0.5012974474596016
0,0,0.46865946705924166
0,1,0.5328269041985565
1,1,0.5161984551688252
0,1,0.5526241208393141
0,1,0.509468349193996
0,1,0.5420891287872164
0,1,0.5544381766785482
1,1,0.5154581800041681
0,1,0.5269939153854982
0,1,0.5185712252752919
1,1,0.5608810275785425
0,1,0.5124480105267305
0,1,0.5439220150020784
0,1,0.5148874272059483
0,1,0.5533997322935561
0,1,0.5389569105446216
1,1,0.5753753422244511
1,1,0.5624223811139348
0,1,0.5649056904154091
1,1,0.5628811313313848
1,1,0.5527464257707778
0,0,0.4980911742364503
1,1,0.5363790766803355
1,0,0.492195240273885
0,1,0.5312393184591917
1,0,0.4815530836763932
0,1,0.5567363248345967
0,1,0.5376081049817493
1,1,0.5179855453690343
0,1,0.5342336246946789
0,1,0.6042610721403956
0,1,0.6408108503592429
1,0,0.4952154037140364
0,1,0.5221618890826335
0,1,0.5942533244881414
0,1,0.5903300112291244
0,1,0.5126993123142324
1,1,0.529487382569974
0,0,0.494989038954212
0,1,0.5417101322125472
1,1,0.5666478144120755
1,1,0.5350233869951405
1,1,0.5537307701411691
1,1,0.5397407439292069
0,1,0.5208367313195503
1,1,0.5168956597065992
1,0,0.4770368553562514
1,1,0.5072196692088619
0,1,0.5262637177246705
0,1,0.5316158275224964
1,0,0.47777279583166465
1,0,0.4840184121065476
0,1,0.5165409867280099
1,1,0.5119672232464418
1,0,0.47889944183711164
0,0,0.49575165935687315
0,1,0.5665059386554365
0,0,0.4495329224604078
1,1,0.512866072656619
0,1,0.5558296311255563
0,1,0.5331176408560336
1,1,0.5386758761245773
0,1,0.5418195955385037
1,1,0.5732546262650602
1,1,0.5162063591080895
0,1,0.56175269835357
1,1,0.5273772841347725
1,1,0.5160259031539383
0,1,0.5116754100381501
0,1,0.5524426875704144
0,1,0.5347555896762429
1,0,0.48016140949459074
0,1,0.5419598528570094
1,1,0.5527241867893802
1,1,0.5420584659680867
0,1,0.5853761098059863
1,1,0.578353778629335
0,1,0.5114754740811722
1,0,0.42803502352678846
1,0,0.4911412780731395
0,0,0.48775974943945466
0,1,0.529169955851454
0,1,0.5176563824545456
1,1,0.5383823168368909
0,1,0.5287154000341231
0,0,0.4911777543537829
1,1,0.53521027937948
0,1,0.5089862415577846
0,1,0.5972475371258641
1,1,0.5473068696392229
1,0,0.4793214494736443
1,1,0.5754954725737205
1,0,0.4549694725649763
0,0,0.42967227705779115
0,0,0.4026866705891484
0,0,0.4383920870781474
0,0,0.44650826903243485
1,0,0.46603071764610116
1,1,0.5302248267882066
0,1,0.5090341634569778
0,1,0.5475454734945623
1,0,0.4827233025381263
1,1,0.5444987460981539
0,0,0.49273035647571256
0,1,0.5560087066204074
0,0,0.3017610451068127
1,0,0.46579362690699866
0,1,0.5242898368094905
1,0,0.47888096777482625
0,1,0.5490615749253615
0,1,0.5266266593729325
1,1,0.555882550186806
0,1,0.5140344240494182
1,1,0.5149973272426729
0,1,0.5179587651264556
0,1,0.5317353778513013
0,1,0.5351403522436997
1,1,0.5483516456955485
1,1,0.5513668873560365
0,1,0.5876464649555823
0,1,0.5358390272853825
1,0,0.494734306219172
0,0,0.4562825627606999
0,0,0.4947324913810357
1,1,0.5249330898875373
1,1,0.5498432223383252
0,1,0.5400720866344715
1,1,0.5820341553501337
0,1,0.5094033634081159
1,1,0.5277959454024981
1,1,0.6255647491464509
0,0,0.497804951804604
1,1,0.5330251352180985
1,1,0.5563313830341698
1,0,0.46037251068404944
1,1,0.5098156591821595
1,0,0.4872691122256515
1,0,0.4617102340042594
1,0,0.4985548524545582
0,1,0.5096704508336581
0,0,0.49931927362995054
0,0,0.4848962758178494
0,0,0.4910513077364246
0,1,0.5850589073836292
0,1,0.5003938424001992
1,1,0.5817013423212378
0,1,0.5954006177196024
1,1,0.5595250512159612
1,0,0.49911009987401633
0,1,0.5092820612701408
0,1,0.5476619069495772
0,1,0.52526304179377
0,1,0.5193223333612713
0,0,0.4700811460619476
1,0,0.49322674386484655
1,1,0.5271648328185031
0,1,0.5476840993276284
0,1,0.5467381381796365
1,0,0.49289202289519835
0,0,0.3937921320896077
1,1,0.5375960414242108
0,1,0.504542347480038
1,0,0.4753434066762104
0,1,0.5110299373300048
0,0,0.4985181375052137
1,1,0.5399061596979663
0,0,0.48450656477155796
1,1,0.5442569948958912
0,1,0.5107531430854662
1,1,0.5160441509255784
0,1,0.517909657120504
0,1,0.5027520218826065
1,1,0.5480109362486456
1,0,0.46384768592635767
1,1,0.5279953328023026
1,1,0.5492614328072001
0,1,0.5219127511916003
1,0,0.42710906351138045
1,1,0.5010686418476771
1,1,0.515304681054057
0,0,0.48312302578475425
1,1,0.5296579337336784
1,1,0.5241424250543109
0,0,0.47287211123779344
1,0,0.47023672479292317
1,1,0.5298683818537855
0,1,0.5030035192682878
1,1,0.5251510396617559
1,1,0.566197785883556
1,1,0.5427552690316294
1,1,0.5799948587898629
1,1,0.5186933202448732
0,0,0.40969902668505936
1,0,0.49537990380326846
1,0,0.42079209939554907
0,1,0.5352042888398088
1,1,0.530542681573369
0,0,0.4662618574398202
1,0,0.4180094348366594
0,1,0.5399396036563278
0,1,0.5126570039817068
1,1,0.5060881501215727
1,1,0.5169564986263171
0,0,0.4934835139532484
0,1,0.5488546863289517
1,0,0.4662737192729559
0,0,0.47525597123419083
1,1,0.5538448327777815
0,1,0.5674554904420219
0,1,0.5415310453385528
1,1,0.6112925002415964
0,1,0.5265111432761427
1,1,0.5613283354463495
1,1,0.5146468559491639
1,1,0.5630635379911841
1,1,0.559481752248682
0,1,0.5788207404985445
1,0,0.46352340875470227
1,0,0.483239834919304
0,0,0.4870638957883466
1,1,0.5092033524993473
0,1,0.5071077793856628
1,1,0.5042039222533504
0,1,0.6214494937573083
0,1,0.5116492026258946
0,1,0.5171182319422317
1,0,0.46133608433855655
0,1,0.5603936031419675
0,1,0.5495286163784826
1,1,0.5087989292273264
1,0,0.4465006123397792
0,1,0.5043887624741275
1,1,0.5187720036083059
0,0,0.48885414783722775
0,0,0.46285509301162425
0,1,0.5151771885856496
1,1,0.5010820037710042
0,1,0.5430020564646199
0,1,0.5929652266424399
0,1,0.5175492496251396
1,0,0.4901305089386561
1,1,0.528050567174377
0,1,0.528405479474953
0,1,0.540326985646075
1,1,0.54624848228086
0,0,0.4793792024771658
0,1,0.5147393306764346
1,1,0.533742624561847
0,0,0.48674025682834776
1,1,0.5616159411445056
1,1,0.5351957514342689
1,1,0.5344749909303821
1,1,0.5468238772398508
1,1,0.5412621222341706
0,1,0.5478796916754447
1,0,0.4474155391114477
1,0,0.4465886677589598
1,1,0.5013167791061104
0,0,0.4671902736069116
1,0,0.4796739969430312
1,1,0.5608685267594367
1,1,0.5137553444603872
0,1,0.5719441418307953
0,0,0.4992462824023405
0,0,0.4592353241783929
0,0,0.4735234855367228
0,1,0.5077882538371028
1,1,0.55341771553557
1,1,0.5914929793044135
1,1,0.5799781862882262
0,1,0.5538601650074251
1,1,0.5141012096168086
1,0,0.4131737655844252
1,1,0.5129247891676223
1,1,0.5245735059735236
0,1,0.5134553024827017
1,0,0.4886971702168882
0,0,0.4677382130542185
1,0,0.45721159750524043
0,0,0.49288899212373644
1,0,0.4424482067942096
0,1,0.5191574122188295
0,0,0.48766955204362566
0,1,0.5838036176146323
1,1,0.5140837271749246
1,1,0.5562756265281823
0,1,0.553344177296558
1,1,0.5619148240993324
1,1,0.541426465934938
1,0,0.48365359877594405
0,0,0.48305033464310243
1,1,0.5206769280658397
0,0,0.4669991267543723
1,0,0.45830985505249855
0,0,0.4856849958461906
1,0,0.4965092377924703
1,1,0.5562913628586519
1,1,0.5185222598305308
0,1,0.5706584056849341
0,1,0.5485365534929343
0,1,0.5021470806258139
1,0,0.47690204965489763
0,1,0.5669246925595125
0,1,0.5303212721829543
0,1,0.5513152938581622
1,1,0.5218990661650137
1,1,0.5393582808634371
0,1,0.5190872444526277
1,1,0.5472867718409278
0,1,0.5210399066713642
0,0,0.43074389993885787
1,1,0.5135651338182131
0,0,0.47647542657536823
0,1,0.5248083932376902
1,1,0.5285956133333995
0,0,0.49495944996085706
0,1,0.5308931407254454
1,1,0.5486118879880955
0,0,0.4636444333467064
1,1,0.5261561516131669
1,1,0.6013956855666518
0,1,0.5343155195464019
0,1,0.544140919939723
1,0,0.47055746286748135
0,1,0.5065188271561482
1,1,0.5875219981920454
1,0,0.4658229764803432
0,0,0.47446878373903884
1,0,0.4932770579157155
1,1,0.5385418466387979
1,1,0.5093157661897679
0,1,0.5245001430786356
0,1,0.5208888627715175
0,0,0.27283203978875864
0,0,0.4937117241086399
0,1,0.5064202068258767
0,0,0.4997567982755833
0,1,0.6154544058870168
0,1,0.5138349235542217
0,1,0.5702761105566004
0,1,0.5507207165490612
0,1,0.5528480678430556
0,1,0.5691714418772237
1,1,0.6106713110063376
1,1,0.6026043877240744
1,1,0.5623407109478687
0,0,0.24786738786643156
0,0,0.45534048534475524
0,0,0.4311741782390761
0,1,0.5422537521593211
1,1,0.5434837536889888
0,1,0.5658455484014635
1,1,0.5518205632964698
1,1,0.5618666997973518
1,1,0.545854258072137
0,1,0.544238076335981
0,1,0.5527830981411291
1,0,0.4635188415512601
1,1,0.5144875634716003
0,1,0.5489238059822938
1,1,0.5523580317649397
1,1,0.5077807992820652
1,0,0.4481406580338223
0,0,0.47825152283496836
0,0,0.4784146550542633
0,1,0.5148770365831468
0,1,0.5141124511605237
1,1,0.5056073430760253
1,1,0.5742386601727258
1,1,0.540800764889941
0,1,0.5498598268690438
1,1,0.5106394252196174
1,1,0.5109357381188562
1,1,0.5348729743369591
1,1,0.5423219176808558
1,0,0.49816943328554397
0,0,0.4909660237888491
1,1,0.5191905183506639
0,1,0.5309645797433844
0,1,0.5448250470230116
1,1,0.5506462088357743
0,1,0.5324231793851828
0,1,0.5399731463206967
1,1,0.5141637127245524
0,1,0.5339088592486335
0,1,0.5423307616845573
1,1,0.5510174860969738
0,1,0.5614266294884118
1,1,0.5459603546005636
1,1,0.5302229305996452
0,1,0.5385704343171401
1,1,0.5368966188050606
1,0,0.48521666047602985
0,1,0.525536647802441
0,1,0.527706612981519
0,1,0.5121088249392244
1,1,0.5392026377283189
1,1,0.5579870504140048
0,1,0.55176821816963
0,1,0.5562519559799947
0,1,0.5341057502771134
1,1,0.5213094160276145
0,1,0.5349830193865277
0,1,0.5181615057244301
0,1,0.5616420031550341
1,1,0.585824245389864
0,1,0.5626818470242017
0,1,0.565537241108568
1,1,0.5751351056980648
1,0,0.4847883027486305
1,1,0.5656891759150182
0,1,0.5309042896926897
1,1,0.5331329743757971
1,1,0.5477782079255548
1,1,0.5431486442653961
1,1,0.5351184985270181
1,0,0.4898920364175647
1,1,0.5275874226197645
1,1,0.5274886169822139
1,1,0.514357104593795
1,1,0.5209545795482596
1,1,0.5024976565009324
1,0,0.47732382268733664
0,1,0.5307677993672816
1,1,0.5374868939044404
0,1,0.5312196926181434
0,1,0.5048129877903184
0,1,0.5691602243391028
1,1,0.5486358143193807
1,1,0.5667644660730669
1,1,0.5265658515337663
1,1,0.5625950862618889
0,1,0.5168505553929362
0,0,0.45871092377603595
1,1,0.5024820261619268
0,1,0.5219428106662981
0,1,0.5243813007127887
1,1,0.6420558685746989
0,0,0.47462007163934394
1,1,0.5530848856012431
0,0,0.44332007208869095
0,0,0.49174144598497
0,1,0.5369042634507815
0,0,0.47314393351904777
0,1,0.5184360171002321
