fold,model,params,roc_auc,accuracy,precision,recall,f1
1,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.4998887141455009,0.4988114829036387,0.49805884756845115,0.29711116528522674,0.3721942281264315
2,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5155090075022919,0.5159542077700645,0.501230012300123,0.35821926409644606,0.41782627801376887
3,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.4993235263797611,0.4959981028042924,0.495506021930613,0.3261744172287303,0.3933923219637505
4,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5039795307139373,0.5037163738143368,0.5050259674987435,0.3749844508023386,0.4303969160479726
5,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.4921156132552046,0.4982757055994192,0.4960116990162191,0.3392743475493316,0.4029375236243858
6,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5036425729353529,0.5069595565592281,0.5035735556879095,0.4199503311258278,0.45797598627787306
7,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5043234890040611,0.5043257206117512,0.5071234024722396,0.3959918200408998,0.4447200404207432
8,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5071645026792018,0.5069961115703745,0.4987991871420654,0.33590445384423984,0.401457140733031
9,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5001563487613863,0.5046463113976863,0.4793496920125215,0.31101356220926424,0.3772550266232218
10,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.515123830305201,0.5159579823472161,0.5041637261820748,0.24665101505316944,0.3312468122594705
11,logreg,"{""C"": 1.0, ""solver"": ""lbfgs""}",0.5063273091772625,0.5065739936287287,0.4899645808736718,0.1964264584072891,0.2804290902947884
1,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5090621036808964,0.5030170049369171,0.503606462781304,0.4255241345685032,0.461284355179704
2,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5171180534003339,0.513000852514919,0.49757161962412894,0.4438653773703378,0.46918660604652707
3,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5148638358038489,0.5109681626845319,0.5142455153007387,0.43249319607147085,0.46983963749718805
4,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5089849312770921,0.5060799253615301,0.506528980679547,0.4728821992785172,0.4891276376737005
5,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5073650851266326,0.5053543878754878,0.5049150112635675,0.44839501682276983,0.4749795308963059
6,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5020520090098596,0.49850133442824884,0.494299812829675,0.48096026490066224,0.48753881010321387
7,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5099730708268523,0.5064168272581901,0.508100147275405,0.47975460122699387,0.4935207001009761
8,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5067548660744191,0.506016349774961,0.49806511876167603,0.4643568051754168,0.480620654133402
9,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.50349481583213,0.50436184335293,0.48495970063327576,0.44152525715783264,0.4622243561164649
10,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5091068909075686,0.5057891734067188,0.4903937007874016,0.4300510979146527,0.4582444264586859
11,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.5220868404164511,0.5144512018534607,0.5047472772968444,0.427760028399006,0.4630756420931275
1,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.504449677054446,0.5044493204120193,0.5045328399629972,0.49859824475865433,0.5015479876160991
2,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.502341516504019,0.5027706734867861,0.48730646273428196,0.4881326133366822,0.4877191881803068
3,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.5064039242605438,0.5064030355131321,0.5074467453865781,0.5059756241864868,0.5067101170197008
4,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.5039651682342913,0.5039651687140414,0.5039805946013186,0.5039805946013186,0.5039805946013186
5,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.5011065050989155,0.5011344042109084,0.5001400429465036,0.4871328544148404,0.4935507646950433
6,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.502480139194238,0.502484089509341,0.4984792437320181,0.5019867549668874,0.5002268508970922
7,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.505067533080618,0.5050637582516708,0.5063332784997533,0.503558282208589,0.504941967764426
8,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.5033958346632512,0.5034138575058938,0.49561107359891965,0.5022393630256282,0.4989032038804956
9,tree,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 1}",0.505769880062197,0.5059738289398824,0.48825900569454217,0.49996724104042456,0.4940437653761492
