fold,model,params,roc_auc,accuracy,precision,recall,f1
1,logreg,"{""C"": 0.01}",0.5000574502032857,0.4988114829036387,0.49803597271035766,0.29363725012189174,0.3694501955371521
1,logreg,"{""C"": 0.1}",0.4998847764012084,0.4985981593222405,0.49770384733136036,0.29723305704534375,0.3721906360895944
1,logreg,"{""C"": 1.0}",0.4998887141455009,0.4988114829036387,0.49805884756845115,0.29711116528522674,0.3721942281264315
1,logreg,"{""C"": 10.0}",0.49979384051202447,0.4989943316876943,0.4983746444534742,0.29900048756704045,0.37376199908578395
2,logreg,"{""C"": 0.01}",0.5153735133931661,0.5159846547314578,0.5012830722944872,0.35570764787140524,0.4161310463877768
2,logreg,"{""C"": 0.1}",0.5154117413857153,0.5154670563877725,0.5005284481240092,0.3568378751726736,0.4166422287390029
2,logreg,"{""C"": 1.0}",0.5155090075022919,0.5159542077700645,0.501230012300123,0.35821926409644606,0.41782627801376887
2,logreg,"{""C"": 10.0}",0.5154551654160868,0.5159542077700645,0.5012278547623223,0.3588471681527063,0.4182523419203747
3,logreg,"{""C"": 0.01}",0.4991520010737362,0.49623525226774173,0.495850622406639,0.3252277836942374,0.392811204802058
3,logreg,"{""C"": 0.1}",0.49932843332937404,0.49647240173119106,0.4962573516307254,0.3294876345994557,0.39603185891053905
3,logreg,"{""C"": 1.0}",0.4993235263797611,0.4959981028042924,0.495506021930613,0.3261744172287303,0.3933923219637505
3,logreg,"{""C"": 10.0}",0.4991566092477637,0.4960870338530859,0.4956560680698612,0.32741687374275236,0.39434210995118824
4,logreg,"{""C"": 0.01}",0.5040860045630478,0.5038407712641891,0.5052206130010104,0.3731807438736161,0.42927666881305
4,logreg,"{""C"": 0.1}",0.5039765595666328,0.5034986782770953,0.5047562926172237,0.3729319567110337,0.4289444504059806
4,logreg,"{""C"": 1.0}",0.5039795307139373,0.5037163738143368,0.5050259674987435,0.3749844508023386,0.4303969160479726
4,logreg,"{""C"": 10.0}",0.5040115788705405,0.5035608770020215,0.5048339638503573,0.37349172782684414,0.429342580345333
5,logreg,"{""C"": 0.01}",0.49222168495006713,0.49845721027316453,0.49629040805511393,0.3406383559152496,0.40399029387975194
5,logreg,"{""C"": 0.1}",0.49213008394142815,0.49786732008349216,0.49543711149318875,0.3406383559152496,0.4037072960448324
5,logreg,"{""C"": 1.0}",0.4921156132552046,0.4982757055994192,0.4960116990162191,0.3392743475493316,0.4029375236243858
5,logreg,"{""C"": 10.0}",0.49214855733311824,0.4978219439150558,0.4953654661016949,0.3401836864599436,0.40336406275270903
6,logreg,"{""C"": 0.01}",0.503675537152183,0.5071237938821597,0.5037931722898782,0.41779801324503313,0.45678341931396504
6,logreg,"{""C"": 0.1}",0.5037448780027245,0.5072880312050914,0.5039832702648874,0.4189569536423841,0.4575535665852997
6,logreg,"{""C"": 1.0}",0.5036425729353529,0.5069595565592281,0.5035735556879095,0.4199503311258278,0.45797598627787306
6,logreg,"{""C"": 10.0}",0.5037117789077569,0.5072059125436256,0.5038759689922481,0.4197019867549669,0.4579532110920423
7,logreg,"{""C"": 0.01}",0.5042980762570702,0.5040387059740047,0.5067391077212412,0.3967280163599182,0.44503578638282254
7,logreg,"{""C"": 0.1}",0.5044300086950733,0.5050637582516708,0.5080058224163028,0.39967280163599184,0.44737444490225703
7,logreg,"{""C"": 1.0}",0.5043234890040611,0.5043257206117512,0.5071234024722396,0.3959918200408998,0.4447200404207432
7,logreg,"{""C"": 10.0}",0.5043681613719522,0.504120710156218,0.5068051948051948,0.39901840490797547,0.4464988558352403
8,logreg,"{""C"": 0.01}",0.5070147129743907,0.5069042589020545,0.49865254158535455,0.3337894998755909,0.3998956664306741
8,logreg,"{""C"": 0.1}",0.5072518253100307,0.5071798169070145,0.49907986750092015,0.337397362527992,0.4026128266033254
8,logreg,"{""C"": 1.0}",0.5071645026792018,0.5069961115703745,0.4987991871420654,0.33590445384423984,0.401457140733031
8,logreg,"{""C"": 10.0}",0.5070823371919769,0.5069348764581612,0.4987051424343322,0.33540681761632246,0.4010711097887533
9,logreg,"{""C"": 0.01}",0.5001236678231497,0.5047727416398002,0.479489516864175,0.31016182926030267,0.3766709102482495
9,logreg,"{""C"": 0.1}",0.5000687127929488,0.5048991718819141,0.47982288417027275,0.31238943851143286,0.3784126984126984
9,logreg,"{""C"": 1.0}",0.5001563487613863,0.5046463113976863,0.4793496920125215,0.31101356220926424,0.3772550266232218
9,logreg,"{""C"": 10.0}",0.500174233652904,0.5049623870029711,0.48002403124061277,0.31409290440935594,0.3797227722772277
10,logreg,"{""C"": 0.01}",0.5152400068117928,0.5168641138369634,0.5061675272518646,0.24368181190443308,0.3289829402442435
10,logreg,"{""C"": 0.1}",0.5149134348185864,0.5160251031983085,0.50430730122864,0.24658196381715233,0.3312155080461902
10,logreg,"{""C"": 1.0}",0.515123830305201,0.5159579823472161,0.5041637261820748,0.24665101505316944,0.3312468122594705
10,logreg,"{""C"": 10.0}",0.5153857876550277,0.5165285095815015,0.5054054054054054,0.2453390415688441,0.3303272592041651
11,logreg,"{""C"": 0.01}",0.5060062737831406,0.5066898349261512,0.49040139616055844,0.1995030173943912,0.28362351753721926
11,logreg,"{""C"": 0.1}",0.5061448749376972,0.5070373588184187,0.49117127722189524,0.19749142113359366,0.28171153683855177
11,logreg,"{""C"": 1.0}",0.5063273091772625,0.5065739936287287,0.4899645808736718,0.1964264584072891,0.2804290902947884
11,logreg,"{""C"": 10.0}",0.5062629624769728,0.5075007240081089,0.4923394225103123,0.1977280795172169,0.28214436471084847
