fold,model,params,roc_auc,accuracy,precision,recall,f1
1,tree,"{""max_depth"": 3, ""min_samples_leaf"": 1}",0.5088491664434288,0.5007313951362223,0.5391849529780565,0.010482691370063383,0.02056555269922879
1,tree,"{""max_depth"": 3, ""min_samples_leaf"": 5}",0.5088491664434288,0.5007313951362223,0.5391849529780565,0.010482691370063383,0.02056555269922879
1,tree,"{""max_depth"": 3, ""min_samples_leaf"": 10}",0.5088491664434288,0.5007313951362223,0.5391849529780565,0.010482691370063383,0.02056555269922879
1,tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.513758146078485,0.5105138050831962,0.5085129416396024,0.6298147245246222,0.5627007895453308
1,tree,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.5145679914853188,0.51090997744865,0.5088462865309743,0.6292662116040956,0.5626856317610834
1,tree,"{""max_depth"": 5, ""min_samples_leaf"": 10}",0.5144988097759242,0.5108490278539648,0.508780559791431,0.6303632374451487,0.5630835397555598
1,tree,"{""max_depth"": 8, ""min_samples_leaf"": 1}",0.5051599179623728,0.4951240324251844,0.49001883239171373,0.2378717698683569,0.32027243260985516
1,tree,"{""max_depth"": 8, ""min_samples_leaf"": 5}",0.5059187472915005,0.49570305357469374,0.49116830683825385,0.23726231106777182,0.3199638366072162
1,tree,"{""max_depth"": 8, ""min_samples_leaf"": 10}",0.5056252776109725,0.49558115438532335,0.49095704596834966,0.23823744514870795,0.32080426754205993
1,tree,"{""max_depth"": 12, ""min_samples_leaf"": 1}",0.5074343404914293,0.5039921984518803,0.5041488559215489,0.4887859580692345,0.4963485579898502
1,tree,"{""max_depth"": 12, ""min_samples_leaf"": 5}",0.5099695772847849,0.5052721399402694,0.5054765202064712,0.4893954168698196,0.49730600111475814
1,tree,"{""max_depth"": 12, ""min_samples_leaf"": 10}",0.5115232625884633,0.5063997074419455,0.5066565713925169,0.4893954168698196,0.49787642992218745
1,tree,"{""max_depth"": 16, ""min_samples_leaf"": 1}",0.5065491504338977,0.5010056683123058,0.5011763077774702,0.44143100926377377,0.4694102397926118
1,tree,"{""max_depth"": 16, ""min_samples_leaf"": 5}",0.5092346901839256,0.5014323154751021,0.5016804369135975,0.43667723061921015,0.46692733789507984
1,tree,"{""max_depth"": 16, ""min_samples_leaf"": 10}",0.5107347497255912,0.5039312488571951,0.5045697412823397,0.4374085811799122,0.46859493340297725
2,tree,"{""max_depth"": 3, ""min_samples_leaf"": 1}",0.5139775495833022,0.5038972110583364,0.49067504561118996,0.6079367072711289,0.5430478434012003
2,tree,"{""max_depth"": 3, ""min_samples_leaf"": 5}",0.5139775495833022,0.5038972110583364,0.49067504561118996,0.6079367072711289,0.5430478434012003
2,tree,"{""max_depth"": 3, ""min_samples_leaf"": 10}",0.5139775495833022,0.5038972110583364,0.49067504561118996,0.6079367072711289,0.5430478434012003
