symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
A,logreg,0.4445450885668277,0.465,0.4,0.32608695652173914,0.3592814371257485,200
AAPL,logreg,0.5008440366972478,0.4700854700854701,0.52,0.104,0.17333333333333334,234
ABBV,logreg,0.5493327335432598,0.48917748917748916,0.46153846153846156,0.05128205128205128,0.09230769230769231,231
ABNB,logreg,0.482396694214876,0.5113122171945701,0.375,0.12,0.18181818181818182,221
ABT,logreg,0.5588991970063147,0.44298245614035087,0.5,0.047244094488188976,0.08633093525179857,228
ACGL,logreg,0.5699,0.535,0.5945945945945946,0.22,0.32116788321167883,200
ACN,logreg,0.5333886041603859,0.47619047619047616,0.5348837209302325,0.18548387096774194,0.2754491017964072,231
ADBE,logreg,0.49023630423220116,0.508695652173913,0.4594594594594595,0.3177570093457944,0.3756906077348066,230
ADI,logreg,0.5458653026427962,0.5668202764976958,0.6538461538461539,0.16666666666666666,0.265625,217
ADM,logreg,0.46412201675359577,0.5066666666666667,0.5,0.04504504504504504,0.08264462809917356,225
ADP,logreg,0.5254759238521837,0.5117647058823529,0.5846153846153846,0.40425531914893614,0.4779874213836478,170
ADSK,logreg,0.4048699334543255,0.43558282208588955,0.34615384615384615,0.23684210526315788,0.28125,163
AEP,logreg,0.5493162393162393,0.48847926267281105,0.8,0.06837606837606838,0.12598425196850394,217
AES,logreg,0.5113694900286996,0.452991452991453,0.42857142857142855,0.023622047244094488,0.04477611940298507,234
AFL,logreg,0.485100042571307,0.48717948717948717,0.38596491228070173,0.25287356321839083,0.3055555555555556,195
AIG,logreg,0.4630379367221473,0.47186147186147187,0.14285714285714285,0.008547008547008548,0.016129032258064516,231
AIZ,logreg,0.4301075268817204,0.4794520547945205,0.5526315789473685,0.5,0.525,73
AJG,logreg,0.5826210826210826,0.5345911949685535,0.5714285714285714,0.345679012345679,0.4307692307692308,159
AKAM,logreg,0.5220178372352285,0.48823529411764705,0.42105263157894735,0.3076923076923077,0.35555555555555557,170
ALB,logreg,0.4359523809523809,0.41150442477876104,0.40540540540540543,0.11904761904761904,0.18404907975460122,226
ALGN,logreg,0.4800295857988166,0.5192307692307693,0.515625,0.6346153846153846,0.5689655172413793,104
ALL,logreg,0.6247608113279755,0.4896551724137931,0.6,0.15384615384615385,0.24489795918367346,145
ALLE,logreg,0.5931603773584906,0.5641025641025641,0.5217391304347826,0.4528301886792453,0.48484848484848486,117
AMAT,logreg,0.48296857001810106,0.46153846153846156,0.48484848484848486,0.13559322033898305,0.2119205298013245,221
AMCR,logreg,0.436123784963301,0.6666666666666666,0.5,0.028169014084507043,0.05333333333333334,213
AMD,logreg,0.46947212993724624,0.5,0.4142857142857143,0.2761904761904762,0.3314285714285714,234
AME,logreg,0.4495774647887324,0.4863013698630137,0.4666666666666667,0.39436619718309857,0.42748091603053434,146
AMP,logreg,0.4521203830369357,0.5454545454545454,0.6176470588235294,0.4883720930232558,0.5454545454545454,77
AMT,logreg,0.5223214285714286,0.5373831775700935,0.8421052631578947,0.14285714285714285,0.24427480916030533,214
AMZN,logreg,0.4862257946656923,0.5,0.5384615384615384,0.11764705882352941,0.19310344827586207,234
ANET,logreg,0.4872758820127241,0.5463414634146342,0.4782608695652174,0.24175824175824176,0.32116788321167883,205
AON,logreg,0.5084295765299349,0.4885057471264368,0.5303030303030303,0.3763440860215054,0.44025157232704404,174
AOS,logreg,0.5552884615384616,0.5459770114942529,0.6545454545454545,0.375,0.4768211920529801,174
APA,logreg,0.5110057066627139,0.5641025641025641,0.5263157894736842,0.0970873786407767,0.16393442622950818,234
APH,logreg,0.4713435640463514,0.5638766519823789,0.5909090909090909,0.1262135922330097,0.208,227
APO,logreg,0.5634454186337798,0.5392156862745098,0.6,0.09278350515463918,0.16071428571428573,204
APTV,logreg,0.4901715091236589,0.5176991150442478,0.625,0.08849557522123894,0.15503875968992248,226
ARE,logreg,0.418961937716263,0.45294117647058824,0.42857142857142855,0.2823529411764706,0.3404255319148936,170
ATO,logreg,0.48805620608899297,0.4961832061068702,0.5416666666666666,0.37142857142857144,0.4406779661016949,131
AVB,logreg,0.4879338842975207,0.4727272727272727,0.45454545454545453,0.2727272727272727,0.3409090909090909,110
AVGO,logreg,0.48615941021004316,0.47058823529411764,0.44761904761904764,0.5949367088607594,0.5108695652173914,170
AVY,logreg,0.46718787017294483,0.46923076923076923,0.47619047619047616,0.29850746268656714,0.3669724770642202,130
AWK,logreg,0.48265675624166193,0.47804878048780486,0.49230769230769234,0.3018867924528302,0.3742690058479532,205
AXON,logreg,0.5875862068965517,0.5185185185185185,0.4864864864864865,0.72,0.5806451612903226,54
AXP,logreg,0.45796920516021644,0.41116751269035534,0.2777777777777778,0.046296296296296294,0.07936507936507936,197
AZO,logreg,0.5212609970674487,0.4861878453038674,0.4861878453038674,1.0,0.654275092936803,181
BA,logreg,0.4670205920205921,0.4798206278026906,0.42857142857142855,0.10714285714285714,0.17142857142857143,223
BAC,logreg,0.4738354952830189,0.4444444444444444,0.3333333333333333,0.015625,0.029850746268656716,234
BALL,logreg,0.65149359886202,0.56,0.6666666666666666,0.21621621621621623,0.32653061224489793,75
BAX,logreg,0.4928735255570118,0.4751131221719457,0.3333333333333333,0.03571428571428571,0.06451612903225806,221
BBY,logreg,0.4415701732774903,0.5540540540540541,0.5,0.08080808080808081,0.1391304347826087,222
BDX,logreg,0.5339446589446589,0.4936708860759494,0.5416666666666666,0.30952380952380953,0.3939393939393939,158
BEN,logreg,0.49869655891553705,0.6153846153846154,0.4,0.023809523809523808,0.0449438202247191,221
BF.B,logreg,0.5196921684019918,0.5531914893617021,0.7777777777777778,0.14893617021276595,0.25,94
BG,logreg,0.5147112573099416,0.43333333333333335,0.2222222222222222,0.017543859649122806,0.032520325203252036,210
BIIB,logreg,0.5286237571951857,0.5255102040816326,0.4895833333333333,0.5164835164835165,0.5026737967914439,196
BK,logreg,0.5186316951022834,0.518348623853211,0.0,0.0,0.0,218
BKNG,logreg,0.5540796963946869,0.5230769230769231,0.5230769230769231,1.0,0.6868686868686869,65
BKR,logreg,0.5578402366863905,0.5470085470085471,0.375,0.028846153846153848,0.05357142857142857,234
BLDR,logreg,0.4706078083407276,0.4473684210526316,0.42857142857142855,0.42391304347826086,0.4262295081967213,190
BLK,logreg,0.4537865235539654,0.43902439024390244,0.4507042253521127,0.8205128205128205,0.5818181818181818,82
BMY,logreg,0.5221114802510151,0.452991452991453,0.5555555555555556,0.03875968992248062,0.07246376811594203,234
BR,logreg,0.6293103448275862,0.6153846153846154,0.5666666666666667,0.5862068965517241,0.576271186440678,65
BRK.B,logreg,0.5160493827160493,0.5056818181818182,0.5476190476190477,0.4842105263157895,0.5139664804469274,176
