fold,model,params,mae,rmse,r2
1,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0011778636409881288,0.002092094627161682,-0.00116192869862064
2,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.00115296296386972,0.0019849991567278047,-0.00029953497918344674
3,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0014725768738639235,0.002822134556946144,-0.00017814519903680548
4,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.001209165123495312,0.0022625588765513645,-0.0013038479914249113
5,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0013486001261389913,0.0023618741800033325,-0.0007327097986415954
6,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0012377835149306403,0.002911901237314011,-2.7735071242762643e-05
7,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.001176750869456784,0.0019689952013128395,-0.000881183592265744
8,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0013382422665133707,0.0023078078527211943,-8.390076522624135e-05
9,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0012240413414542715,0.0019356648033588067,-0.000436362382377542
10,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0011356089323318111,0.002203116966904882,-0.00034191714353837277
11,enet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.0010815226915195549,0.0018177363504744823,-0.0009064268699414679
1,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0012008069060662628,0.002100485406407871,-0.009208768124695954
2,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.001182895750393304,0.0020693597404783277,-0.08712981075449311
3,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.001495280833955793,0.0028658959574776413,-0.03143714353683569
4,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.001237473987153494,0.0023076682502838736,-0.04162850555435216
5,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0013770415406306373,0.0024102844712983506,-0.04217627871625362
6,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0012661834473501458,0.002919688085751285,-0.005383326242332842
7,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0011903377569494802,0.001986647576231683,-0.018907766775080992
8,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0013699643593895192,0.0023854445379267635,-0.06850310787458502
9,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.001261358466739258,0.0020246345643527316,-0.09451685922480713
10,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0011632863958790246,0.0022460326041596947,-0.0396938373465332
11,rf,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.0011017426787566188,0.0018904474955075395,-0.08258232805151833
1,ridge,"{""alpha"": 1.0}",0.0011891574270188523,0.002099576781153109,-0.008335832530362408
2,ridge,"{""alpha"": 1.0}",0.0011594390351376274,0.001994192147466504,-0.009586227258618019
3,ridge,"{""alpha"": 1.0}",0.0014756362679420993,0.002825301051990486,-0.0024238466921255863
4,ridge,"{""alpha"": 1.0}",0.001211332057850973,0.0022659820774748826,-0.004336040684712383
5,ridge,"{""alpha"": 1.0}",0.0013535820698602362,0.002369031490984598,-0.006807045008292212
6,ridge,"{""alpha"": 1.0}",0.0012389563592311928,0.002912999068835949,-0.000781928868560211
7,ridge,"{""alpha"": 1.0}",0.0011779063309326776,0.001969514842971585,-0.00140954261354298
8,ridge,"{""alpha"": 1.0}",0.0013392496409930811,0.0023100441182037647,-0.0020230021212503946
9,ridge,"{""alpha"": 1.0}",0.001225104423914457,0.0019367589939661238,-0.0015677333361268087
10,ridge,"{""alpha"": 1.0}",0.001135760819702396,0.002203330263897395,-0.0005356247445684748
11,ridge,"{""alpha"": 1.0}",0.0010814837515954415,0.0018176478502121706,-0.0008089668340651723
