fold,model,params,mae,rmse,r2
1,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012008069060662628,0.002100485406407871,-0.009208768124695954
1,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001196048386327134,0.0021008301833828694,-0.009540101541099633
1,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.00117780784687477,0.0020839221926932635,0.006644553326441205
1,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011768900947993037,0.0020817428150389367,0.00872118040998926
1,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011803998867502114,0.0020849553942538816,0.005659304617631755
1,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011788877080514072,0.0020815512817539085,0.008903579650702431
1,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.00118459925497533,0.002090694002695891,0.00017814691799389326
1,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011821982777818216,0.0020890206346416778,0.0017779988269529534
1,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012002936580149041,0.002102597789642535,-0.011239639304376325
1,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001195074505197932,0.002099551864322683,-0.008311899722480476
1,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011778858131980439,0.002083912700657066,0.006653602555261706
1,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011772618673931072,0.002082717950762292,0.007792287774572304
1,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011804747947813607,0.002085330937076379,0.00530107043925343
1,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011793966028369686,0.002082716797120769,0.007793386964885962
1,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011843023748240016,0.0020910769498727563,-0.00018815634876956366
1,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011823408907664832,0.002088607255946927,0.0021730192243398783
2,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001182895750393304,0.0020693597404783277,-0.08712981075449311
2,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001176294415223315,0.0020580016499361182,-0.07522870711224683
2,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011616825383344636,0.0020329418189116316,-0.04920249109087638
2,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.00116046454423057,0.002031654052936646,-0.04787367850914204
