symbol,model,mae,rmse,r2,n_obs
A,rf,0.0008807761435490486,0.0013126071178890433,-0.031710196846880256,199
AAPL,rf,0.0007274265241788846,0.0012845657586329094,-0.09272798403993754,233
ABBV,rf,0.0005633082623053684,0.0008115761093167774,0.021785548255236264,230
ABNB,rf,0.0009116749176949488,0.001277698530283449,-0.05085751569336283,220
ABT,rf,0.0008480946970632479,0.0012379028577946584,-0.009682305145290782,227
ACGL,rf,0.0007129511428630703,0.0010385508363631548,0.017193759281560306,199
ACN,rf,0.0008740928230313966,0.0012652337286836427,-0.01873752873647727,230
ADBE,rf,0.0011007682944846448,0.0017534821428082715,0.030981845801050345,229
ADI,rf,0.0009337177830190835,0.001432422695910913,0.042150534614144974,216
ADM,rf,0.0008105265247965993,0.001131804960537518,0.032888363392821085,224
ADP,rf,0.0007457841202516955,0.0013326437295815019,0.03928609962818941,169
ADSK,rf,0.0008950131922197069,0.0012348451869996333,-0.037518343720078784,162
AEP,rf,0.0007540155994749895,0.0012311154735436284,0.03013955165585147,216
AES,rf,0.0014381721688243015,0.002062731666296755,0.02613992213799521,233
AFL,rf,0.000632908814052224,0.0009680171739150305,0.08635078891033432,194
AIG,rf,0.0006091749757312026,0.0008856225736114006,0.02255172059461341,230
AIZ,rf,0.0015825620257381326,0.002364660562000283,-0.028649127639152283,72
AJG,rf,0.0007685711278804092,0.0012035228421696572,-0.003162554730006928,158
AKAM,rf,0.0007012907004052041,0.0010298333750451837,-0.03275789468308621,169
ALB,rf,0.0018623700180798136,0.002767583407218932,0.014006604950962953,225
ALGN,rf,0.0016201274611209002,0.002652271465477114,2.3724894019916398e-05,103
ALL,rf,0.0009179040255446677,0.0013882671102487182,0.08898273527704459,144
ALLE,rf,0.0009445282896044516,0.001383530495448934,0.05131299304615189,116
AMAT,rf,0.0011421095073629328,0.001635433506658125,-0.041295745443173715,220
AMCR,rf,0.0007488339373785928,0.0012568657370243335,0.03620141929514109,212
AMD,rf,0.0018509172925105842,0.002676757073041826,-0.005715753625453068,233
AME,rf,0.0007365804971482767,0.0011701826427375447,-0.051367861309709495,145
AMP,rf,0.001261928412557234,0.001917329515036502,0.05343001588208085,76
AMT,rf,0.0009023226910620533,0.0012940983984339998,0.0053317140427568965,213
AMZN,rf,0.000767656137356948,0.0010867521364714226,-0.06488507841477364,233
ANET,rf,0.0015323600621354912,0.002235092708403442,-0.04337322353909956,204
AON,rf,0.0006485050927470834,0.001016381773468521,-0.004958471898220962,173
AOS,rf,0.000750664210409914,0.0010565768836789874,0.022218938638982277,173
APA,rf,0.0015295221271638486,0.0025045172388063214,0.04017368320758119,233
APH,rf,0.000752717645164746,0.0011624872373299222,0.05928262497656778,226
APO,rf,0.0009319564148430504,0.001443502573038187,-0.0220480106673262,203
APTV,rf,0.0011539608969689708,0.0016819491453533147,0.016055084496704897,225
ARE,rf,0.0011695852155090708,0.0016668598007365473,0.06217241179747124,169
ATO,rf,0.0009709379825968597,0.0015190889745801952,0.01933693203240483,130
AVB,rf,0.0011909332660865427,0.0016842530886852836,0.06169645149122982,109
AVGO,rf,0.0017251644685731928,0.0024007415197051228,-0.02836991598738603,169
AVY,rf,0.0011391707616139862,0.0015966381656478711,-0.005152520421564111,129
AWK,rf,0.001039534511600856,0.001525889865137084,0.005836800543461584,204
AXON,rf,0.0016124249627213036,0.0025212355052803806,0.020939814357480713,53
AXP,rf,0.0007221720058605172,0.0012860508220604555,-0.0119828055100335,196
AZO,rf,0.0011001240313797858,0.0016231547722847124,-0.03142615245629954,180
BA,rf,0.0010586539595056818,0.0015426911357314687,0.007908577050809162,222
BAC,rf,0.0007099583312101796,0.0010913234877448644,-0.024080669098798024,233
BALL,rf,0.0010867378771514146,0.0016461602557454435,-0.015036750654679132,74
BAX,rf,0.0010911261032384083,0.0016960590149550517,0.03032626291582774,220
BBY,rf,0.00122768006123564,0.0019897737356716605,0.02807092469029837,221
BDX,rf,0.0009672212048373436,0.0013934720811283998,0.007035731123155697,157
BEN,rf,0.0008706789144357281,0.001413746549056241,0.05843843708600749,220
BF.B,rf,0.0009454532420985735,0.0013597031737638896,-0.002580046866650587,93
BG,rf,0.0008836286501474179,0.001281762473919699,0.009824992729681847,209
BIIB,rf,0.000955023661687025,0.0013651314190881703,0.028769258470485948,195
BK,rf,0.000564106598082681,0.0009575528286185703,0.07440989586425395,217
BKNG,rf,0.001742410554123308,0.0024264628349548244,-0.015664049697558635,64
BKR,rf,0.0009490429371925401,0.0015246914532552783,0.07281787490404679,233
BLDR,rf,0.0012410651596680366,0.0019187347033632867,-0.03477662888736721,189
BLK,rf,0.0011311083102888793,0.0017605507486079632,0.04512377262331391,81
BMY,rf,0.0009324576137407976,0.0017473145421873601,0.03961429298518282,233
BR,rf,0.0010481699015718186,0.0015805115409978675,0.07829227101924974,64
BRK.B,rf,0.0005517876907354442,0.0008638612125390994,0.021678120490988606,175
BRO,rf,0.0006767746298839444,0.001128881794121031,0.027381863479583934,171
BSX,rf,0.000607650415066561,0.0008687566581077278,-0.044076252106334035,232
BX,rf,0.0009532137258836845,0.0015664273273185525,0.0011286744968278528,213
BXP,rf,0.0014038152583559715,0.002024253214512559,0.06664539756323695,197
C,rf,0.0008195389813417382,0.0012446411312994695,0.01587767191202838,233
CAG,rf,0.0008093460304645096,0.0011796571034013107,0.038365288797487684,232
CARR,rf,0.0007140246603063139,0.0010263527309421598,-0.0029526296847961486,223
CAT,rf,0.0007722902788976263,0.0010855207467506437,0.002946932600326746,199
CB,rf,0.0006073336360297067,0.0008912882084331173,0.02896640586754262,163
CBOE,rf,0.0008705383084028798,0.001210079593216388,-0.018775004138597007,194
CBRE,rf,0.0009812257611221873,0.0015038527749033441,0.05657263778145305,181
CCL,rf,0.003032056298630439,0.004895097367860062,-0.11259563325370525,233
CDNS,rf,0.0012885245849291894,0.0018806510649148512,-0.03438048697827134,146
CDW,rf,0.0009039970468834176,0.0012574106142214934,0.0466803782630586,124
CEG,rf,0.002063160852518972,0.0031718845305089166,0.012203577340802574,225
