symbol,rows,open,high,low,close,volume,vwap,trade_count,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct,bars_expected_total,coverage_pct,vwap_availability_pct
FICO,4789,0,0,0,0,0,4789,4789,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.24364061864061864,0.0
AZO,4935,0,0,0,0,0,4935,4935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.25106837606837606,0.0
MTD,4967,0,0,0,0,0,4967,4967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.2526963776963777,0.0
NVR,5430,0,0,0,0,0,5430,5430,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.27625152625152627,0.0
TYL,5569,0,0,0,0,0,5569,5569,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.2833231583231583,0.0
NDSN,5784,0,0,0,0,0,5784,5784,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.29426129426129427,0.0
BKNG,5802,0,0,0,0,0,5802,5802,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.2951770451770452,0.0
ERIE,5847,0,0,0,0,0,5847,5847,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.29746642246642246,0.0
GWW,5852,0,0,0,0,0,5852,5852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.29772079772079774,0.0
TPL,5861,0,0,0,0,0,5861,5861,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.2981786731786732,0.0
TDY,6057,0,0,0,0,0,6057,6057,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.30815018315018317,0.0
FDS,6176,0,0,0,0,0,6176,6176,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.3142043142043142,0.0
TDG,6593,0,0,0,0,0,6593,6593,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.3354192104192104,0.0
LII,7280,0,0,0,0,0,7280,7280,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.37037037037037035,0.0
EG,7419,0,0,0,0,0,7419,7419,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.37744200244200243,0.0
HII,7694,0,0,0,0,0,7694,7694,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.39143264143264145,0.0
SNA,7772,0,0,0,0,0,7772,7772,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.3954008954008954,0.0
IT,7816,0,0,0,0,0,7816,7816,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.39763939763939765,0.0
ESS,8150,0,0,0,0,0,8150,8150,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.4146316646316646,0.0
ORLY,8262,0,0,0,0,0,8262,8262,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.42032967032967034,0.0
ZBRA,8565,0,0,0,0,0,8565,8565,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.43574481074481075,0.0
AIZ,8862,0,0,0,0,0,8862,8862,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.45085470085470086,0.0
AMP,8903,0,0,0,0,0,8903,8903,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.45294057794057796,0.0
BLK,9075,0,0,0,0,0,9075,9075,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.4616910866910867,0.0
ROP,9265,0,0,0,0,0,9265,9265,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.4713573463573464,0.0
CTAS,9275,0,0,0,0,0,9275,9275,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.4718660968660969,0.0
CMG,9345,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.4754273504273504,1.0
AXON,9364,0,0,0,0,0,9364,9364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.4763939763939764,0.0
BR,9506,0,0,0,0,0,9506,9506,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.48361823361823364,0.0
NWS,9617,0,0,0,0,0,9617,9617,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.48926536426536427,0.0
L,9652,0,0,0,0,0,9652,9652,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.49104599104599106,0.0
MPWR,9674,0,0,0,0,0,9674,9674,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.49216524216524216,0.0
MKTX,9737,0,0,0,0,0,9737,9737,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.49537037037037035,0.0
POOL,9825,0,0,0,0,0,9825,9825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.49984737484737485,0.0
IEX,9835,0,0,0,0,0,9835,9835,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5003561253561254,0.0
WAT,9889,0,0,0,0,0,9889,9889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5031033781033781,0.0
MLM,10040,0,0,0,0,0,10040,10040,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5107855107855108,0.0
JKHY,10069,0,0,0,0,0,10069,10069,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5122608872608873,0.0
CINF,10089,0,0,0,0,0,10089,10089,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5132783882783882,0.0
MOH,10165,0,0,0,0,0,10165,10165,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5171448921448921,0.0
WST,10271,0,0,0,0,0,10271,10271,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5225376475376475,0.0
URI,10302,0,0,0,0,0,10302,10302,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5241147741147741,0.0
REGN,10419,0,0,0,0,0,10419,10419,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5300671550671551,0.0
MSCI,10461,0,0,0,0,0,10461,10461,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5322039072039072,0.0
HUBB,10474,0,0,0,0,0,10474,10474,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5328652828652829,0.0
FFIV,10675,0,0,0,0,0,10675,10675,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5430911680911681,0.0
IDXX,10967,0,0,0,0,0,10967,10967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5579466829466829,0.0
CPAY,10975,0,0,0,0,0,10975,10975,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5583536833536834,0.0
EQIX,10977,0,0,0,0,0,10977,10977,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5584554334554335,0.0
AVY,11047,0,0,0,0,0,11047,11047,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.562016687016687,0.0
DECK,11120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.5657305657305657,1.0
WTW,11133,0,0,0,0,0,11133,11133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5663919413919414,0.0
MSI,11217,0,0,0,0,0,11217,11217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5706654456654456,0.0
PKG,11249,0,0,0,0,0,11249,11249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5722934472934473,0.0
STE,11431,0,0,0,0,0,11431,11431,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5815527065527065,0.0
EPAM,11591,0,0,0,0,0,11591,11591,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5896927146927147,0.0
PSA,11678,0,0,0,0,0,11678,11678,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5941188441188441,0.0
PH,11732,0,0,0,0,0,11732,11732,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5968660968660968,0.0
FRT,11790,0,0,0,0,0,11790,11790,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.5998168498168498,0.0
DPZ,11816,0,0,0,0,0,11816,11816,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6011396011396012,0.0
MCO,11852,0,0,0,0,0,11852,11852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.602971102971103,0.0
AVB,11892,0,0,0,0,0,11892,11892,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.605006105006105,0.0
KLAC,11898,0,0,0,0,0,11898,11898,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6053113553113553,0.0
CRL,11970,0,0,0,0,0,11970,11970,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6089743589743589,0.0
FOX,12111,0,0,0,0,0,12111,12111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6161477411477412,0.0
SOLV,12173,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6193019943019943,1.0
AAPL,12193,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6203194953194954,1.0
GRMN,12210,0,0,0,0,0,12210,12210,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6211843711843712,0.0
VRSK,12212,0,0,0,0,0,12212,12212,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6212861212861213,0.0
J,12228,0,0,0,0,0,12228,12228,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6221001221001221,0.0
TSLA,12332,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6273911273911273,1.0
AMZN,12342,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6278998778998779,1.0
INTC,12342,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6278998778998779,1.0
NVDA,12441,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6329365079365079,1.0
AMD,12446,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6331908831908832,1.0
BAC,12471,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6344627594627594,1.0
ATO,12473,0,0,0,0,0,12473,12473,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6345645095645096,0.0
NOC,12590,0,0,0,0,0,12590,12590,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6405168905168905,0.0
GOOGL,12593,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6406695156695157,1.0
PLTR,12599,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.640974765974766,1.0
MAA,12619,0,0,0,0,0,12619,12619,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.641992266992267,0.0
MCK,12665,0,0,0,0,0,12665,12665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6443325193325193,0.0
DVA,12684,0,0,0,0,0,12684,12684,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6452991452991453,0.0
