symbol,days,bars_found_total,bars_expected_total,pct_coverage,outlier_ret_count,outlier_vol_count,rows,ohlc_violations,vwap_outside,neg_volume_rows,nan_open,nan_high,nan_low,nan_close,nan_volume,nan_vwap,nan_trade_count,year,month
INTC,21,1638,1638,1.0,11,0,1638,0,0,0,,,,,,,,2024,1
F,21,1638,1638,1.0,8,0,1638,0,0,0,,,,,,,,2024,1
T,21,1638,1638,1.0,20,1,1638,0,0,0,,,,,,,,2024,1
TSLA,21,1638,1638,1.0,11,1,1638,0,0,0,,,,,,,,2024,1
C,21,1638,1638,1.0,7,0,1638,0,0,0,,,,,,,,2024,1
UBER,21,1638,1638,1.0,8,0,1638,0,0,0,,,,,,,,2024,1
SLB,21,1638,1638,1.0,13,0,1638,0,0,0,,,,,,,,2024,1
CCL,21,1638,1638,1.0,16,0,1638,0,0,0,,,,,,,,2024,1
CMCSA,21,1638,1638,1.0,9,0,1638,0,0,0,,,,,,,,2024,1
PFE,21,1638,1638,1.0,11,0,1638,0,0,0,,,,,,,,2024,1
CSCO,21,1638,1638,1.0,9,0,1638,0,0,0,,,,,,,,2024,1
AMZN,21,1638,1638,1.0,8,0,1638,0,0,0,,,,,,,,2024,1
VZ,21,1638,1638,1.0,13,0,1638,0,0,0,,,,,,,,2024,1
AMD,21,1638,1638,1.0,10,0,1638,0,0,0,,,,,,,,2024,1
WFC,21,1638,1638,1.0,10,0,1638,0,0,0,,,,,,,,2024,1
BAC,21,1638,1638,1.0,11,0,1638,0,0,0,,,,,,,,2024,1
GOOGL,21,1638,1638,1.0,11,0,1638,0,0,0,,,,,,,,2024,1
AAPL,21,1638,1638,1.0,11,0,1638,0,0,0,,,,,,,,2024,1
HPQ,21,1638,1638,1.0,11,1,1638,0,0,0,,,,,,,,2024,1
HAL,21,1638,1638,1.0,10,0,1638,0,0,0,,,,,,,,2024,1
XOM,21,1638,1638,1.0,9,0,1638,0,0,0,,,,,,,,2024,1
KO,21,1638,1638,1.0,6,0,1638,0,0,0,,,,,,,,2024,1
FCX,21,1637,1638,0.9993894993894994,14,0,1637,0,0,0,,,,,,,,2024,1
PYPL,21,1637,1638,0.9993894993894994,16,0,1637,0,0,0,,,,,,,,2024,1
KEY,21,1637,1638,0.9993894993894994,12,0,1637,0,0,0,,,,,,,,2024,1
CSX,21,1637,1638,0.9993894993894994,6,0,1637,0,0,0,,,,,,,,2024,1
DIS,21,1637,1638,0.9993894993894994,8,0,1637,0,0,0,,,,,,,,2024,1
NVDA,21,1637,1638,0.9993894993894994,12,0,1637,0,0,0,,,,,,,,2024,1
GOOG,21,1637,1638,0.9993894993894994,12,0,1637,0,0,0,,,,,,,,2024,1
